Time,Amplitude,Label
0.0,1.0,Spike
0.001,1.0628314396555896,Spike
0.002,0.1256603988335261,Spike
0.003,0.18848439715408175,Spike
0.004,1.2513009544333749,Spike
0.005,1.314107590781283,Spike
0.006,0.3769018266993454,Spike
0.007,0.439681183178649,Spike
0.008,0.5024431817976955,Spike
0.009,0.5651853448202453,Spike
0.01,0.6279051952931337,Spike
0.011,0.6906002571440578,Spike
0.012,0.7532680552793272,Spike
0.013,1.8159061156815755,Spike
0.014,0.8785119655074316,Spike
0.015,1.9410831331851433,Spike
0.016,2.003617148512149,Spike
0.017,2.066111542752599,Spike
0.018,1.1285638487348169,Spike
0.019,1.1909716009486973,Spike
0.02,2.2533323356430426,Spike
0.021,2.315643590922825,Spike
0.022,1.3779029068463804,Spike
0.023,1.4401078255225217,Spike
0.024,2.5022558912075707,Spike
0.025,2.5643446504023086,Spike
0.026,2.626371651948836,Spike
0.027,1.6883344471273387,Spike
0.028,1.7502305897527604,Spike
0.029,1.8120576362713736,Spike
0.03,2.873813145857246,Spike
0.031,2.9354946805086026,Spike
0.032,2.99709980514407,Spike
0.033,2.0586260876988134,Spike
0.034,3.1200710992205467,Spike
0.035,3.1814324139654255,Spike
0.036,3.242707609493812,Spike
0.037,2.303894266765906,Spike
0.038,2.3649899702372466,Spike
0.039,2.425992307954074,Spike
0.04,2.486898871648548,Spike
0.041,2.5477072568338217,Spike
0.042,2.6084150628989695,Spike
0.043,3.669019893203756,Spike
0.044,2.7295193551732515,Spike
0.045,3.789911060392293,Spike
0.046,3.850192624699761,Spike
0.047,3.910361668282718,Spike
0.048,3.970415815770349,Spike
0.049,4.030352696327739,Spike
0.05,4.0901699437494745,Spike
0.051,3.1498651965530478,Spike
0.052,3.2094360980720955,Spike
0.053,3.2688802965494244,Spike
0.054,3.3281954452298663,Spike
0.055,3.3873792024529137,Spike
0.056,3.446429231745171,Spike
0.057,4.50534320191259,Spike
0.058,3.5641187871325073,Spike
0.059,4.6227536670454565,Spike
0.06,3.681245526846779,Spike
0.061,4.739592057378004,Spike
0.062,4.7977909552180105,Spike
0.063,3.8558399227739653,Spike
0.064,3.9137366683720245,Spike
0.065,3.971478906347806,Spike
0.066,4.029064357136626,Spike
0.067,5.086490747363491,Spike
0.068,5.143755809932841,Spike
0.069,4.2008572841180625,Spike
0.07,5.257792915650727,Spike
0.071,4.31456045680959,Spike
0.072,4.37115766650933,Spike
0.073,5.427582310389015,Spike
0.074,4.483832160900322,Spike
0.075,5.539904997395468,Spike
0.076,5.595798606214879,Spike
0.077,5.651510780774583,Spike
0.078,5.707039321653325,Spike
0.079,4.762382036679391,Spike
0.08,4.817536741017153,Spike
0.081,5.872501257253322,Spike
0.082,4.927273415482915,Spike
0.083,5.981851053394908,Spike
0.084,6.036232016357608,Spike
0.085,5.090414157503713,Spike
0.086,5.144395337815064,Spike
0.087,6.198173426207095,Spike
0.088,5.251746299612956,Spike
0.089,5.3051118430673405,Spike
0.09,5.358267949789966,Spike
0.091,6.411212521268758,Spike
0.092,6.463943467342691,Spike
0.093,6.516458706284302,Spike
0.094,5.568756164881879,Spike
0.095,6.620833778521305,Spike
0.096,5.672689491267565,Spike
0.097,5.724321255945909,Spike
0.098,6.775727034222676,Spike
0.099,6.826904796685762,Spike
0.1,5.877852522924732,Spike
0.101,6.9285682016105925,Spike
0.102,6.979049830575188,Spike
0.103,7.029295416890247,Spike
0.104,6.079302976946055,Spike
0.105,6.129070536529763,Spike
0.106,6.178596130903343,Spike
0.107,6.227877804881126,Spike
0.108,6.276913612907005,Spike
0.109,6.3257016191312445,Spike
0.11,7.374239897486897,Spike
0.111,6.422526531765844,Spike
0.112,7.470559615694443,Spike
0.113,6.518337253008788,Spike
0.114,6.565857557529565,Spike
0.115,7.613118653236518,Spike
0.116,6.660118674342517,Spike
0.117,7.7068557653672,Spike
0.118,7.7533280812102445,Spike
0.119,6.799533787224192,Spike
0.12,7.845471059286886,Spike
0.121,6.891138083873485,Spike
0.122,6.936533058128049,Spike
0.123,7.981654189934726,Spike
0.124,7.026499697988492,Spike
0.125,7.071067811865475,Spike
0.126,7.115356772092854,Spike
0.127,7.159364830218311,Spike
0.128,8.203090248879068,Spike
0.129,7.246531301870467,Spike
0.13,7.289686274214116,Spike
0.131,7.332553462225599,Spike
0.132,8.375131173581739,Spike
0.133,8.417417727387392,Spike
0.134,7.459411454241821,Spike
0.135,7.501110696304596,Spike
0.136,8.542513807361038,Spike
0.137,8.58361915288722,Spike
0.138,8.62442511011448,Spike
0.139,7.664930068093499,Spike
0.14,7.705132427757892,Spike
0.141,7.745030601987338,Spike
0.142,8.784623015670235,Spike
0.143,8.82390810576588,Spike
0.144,8.862884321366188,Spike
0.145,8.901550123756902,Spike
0.146,7.9399039864783525,Spike
0.147,7.97794439538571,Spike
0.148,9.015669848708765,Spike
0.149,9.053078857111219,Spike
